,date,open,high,close,low,volume,time,bb_bbm,bb_bbh,bb_bbl
56,11/6/2018,6404,6449.65,6448.5,6387.82,5512.347248,1541462400,5431.7525,7292.640537,3570.864463
57,11/5/2018,6423.29,6439.99,6404,6372,4088.666893,1541376000,5555.118,7328.261752,3781.974248
58,11/4/2018,6331.96,6464.15,6423.28,6313.17,4055.769107,1541289600,5687.5325,7297.151796,4077.913204
59,11/3/2018,6349.8,6351.7,6331.96,6315.91,2572.933062,1541203200,5789.9405,7285.898072,4293.982928
60,11/2/2018,6344,6378.77,6349.8,6333.94,4182.903688,1541116800,5894.1625,7232.915482,4555.409518
61,11/1/2018,6304.18,6360,6344,6293.44,4490.977981,1541030400,5984.107,7182.598436,4785.615564
62,10/31/2018,6267.63,6353.24,6304.18,6201.67,5229.245122,1540944000,6081.8545,7022.11415,5141.59485
63,10/30/2018,6266,6289,6267.63,6240.54,4101.071252,1540857600,6158.561,6868.38013,5448.74187
64,10/29/2018,6403.63,6414.99,6266,6211,6986.995765,1540771200,6193.861,6849.232964,5538.489036
65,10/28/2018,6409.11,6415,6403.62,6380.01,2142.013305,1540684800,6238.8335,6817.700791,5659.966209
66,10/27/2018,6404.87,6421.76,6409.12,6390,2332.791502,1540598400,6283.6775,6760.390494,5806.964506
67,10/26/2018,6395.58,6450,6404.87,6383.54,4134.910058,1540512000,6324.945,6677.383959,5972.506041
68,10/25/2018,6415.97,6422,6395.58,6377.5,3747.244902,1540425600,6364.451,6488.694516,6240.207484
69,10/24/2018,6395.13,6471,6415.98,6395.13,5193.916889,1540339200,6372.283,6488.526166,6256.039834
70,10/23/2018,6407.64,6411.5,6395.14,6360,4036.625693,1540252800,6375.6465,6490.438514,6260.854486
71,10/22/2018,6415.87,6427.63,6407.65,6377.77,4004.826027,1540166400,6378.149,6493.439356,6262.858644
72,10/21/2018,6413.99,6452.87,6415.88,6405.57,2611.790727,1540080000,6381.572,6497.074683,6266.069317
73,10/20/2018,6382.99,6420,6414,6369,3425.842678,1539993600,6385.5275,6499.776172,6271.278828
74,10/19/2018,6394.96,6409.61,6382.99,6353.86,3816.48536,1539907200,6384.365,6498.219467,6270.510533
75,10/18/2018,6443.69,6489.83,6394.96,6355,7212.213941,1539820800,6378.957,6479.195489,6278.718511
76,10/17/2018,6457.1,6459.99,6443.7,6411.19,5507.266621,1539734400,6378.717,6478.309217,6279.124783
77,10/16/2018,6440.43,6493.11,6457.11,6375,10080.99136,1539648000,6381.3725,6486.213568,6276.531432
78,10/15/2018,6183.52,6810,6440.42,6151.58,21436.33656,1539561600,6382.2295,6488.694449,6275.764551
79,10/14/2018,6196.01,6288.45,6183.49,6151,3763.118346,1539475200,6374.806,6510.851673,6238.760327
80,10/13/2018,6188.01,6212,6196,6178,3842.859291,1539388800,6367.116,6523.772114,6210.459886
81,10/12/2018,6154.68,6235.2,6188.01,6111.97,5574.647391,1539302400,6359.3165,6534.264295,6184.368705
82,10/11/2018,6524.56,6524.56,6154.69,6033.34,20730.76349,1539216000,6351.842,6547.161361,6156.522639
83,10/10/2018,6589.48,6591.32,6524.56,6445.48,6387.671986,1539129600,6364.6885,6569.718965,6159.658035
84,10/9/2018,6607.53,6612.86,6589.48,6552.5,4580.909743,1539043200,6380.8625,6602.559271,6159.165729
85,10/8/2018,6569.99,6681.19,6608.07,6545.63,5447.875487,1538956800,6391.085,6633.886419,6148.283581
86,10/7/2018,6552.42,6585.01,6570,6491.81,2625.49821,1538870400,6399.129,6654.140311,6144.117689
87,10/6/2018,6593.94,6594.39,6552.43,6536,2725.256475,1538784000,6406.507,6670.148189,6142.865811
88,10/5/2018,6547.45,6641,6593.94,6510.58,5347.264432,1538697600,6416.425,6692.315478,6140.534522
89,10/4/2018,6466.03,6603.01,6547.45,6454.38,6676.802823,1538611200,6422.9985,6704.736291,6141.260709
90,10/3/2018,6498.47,6507.95,6466.03,6398.96,6264.41952,1538524800,6426.543,6708.573232,6144.512768
91,10/2/2018,6572.83,6591.37,6498.46,6452,5444.036364,1538438400,6431.0835,6714.670539,6147.496461
92,10/1/2018,6605,6639.33,6572.83,6474.9,7146.810771,1538352000,6438.931,6729.012817,6148.849183
93,9/30/2018,6581,6642.28,6605,6523,3698.721067,1538265600,6448.481,6747.101365,6149.860635
94,9/29/2018,6620.01,6620.01,6581,6452.02,4371.915449,1538179200,6458.3815,6760.766165,6155.996835
95,9/28/2018,6680.01,6786.73,6620.01,6528.13,9039.129023,1538092800,6469.634,6778.422451,6160.845549
96,9/27/2018,6455.65,6734.79,6680.01,6430,7878.874061,1538006400,6481.4495,6803.177617,6159.721383
97,9/26/2018,6435,6537.26,6455.66,6380.62,5910.043993,1537920000,6481.377,6803.127676,6159.626324
98,9/25/2018,6582.09,6582.1,6436.89,6320.5,9533.999656,1537833600,6481.2005,6803.044711,6159.356289
99,9/24/2018,6696.99,6716.16,6582.09,6555.99,5562.20173,1537747200,6501.1305,6794.906446,6207.354554
100,9/23/2018,6707.34,6777,6696.99,6660.05,3506.512201,1537660800,6526.18,6796.079354,6256.280646
101,9/22/2018,6750,6823,6707.33,6628.01,5315.78683,1537574400,6552.146,6784.180487,6320.111513
102,9/21/2018,6493.11,6777.1,6750,6492.5,11391.70322,1537488000,6581.9115,6744.795047,6419.027953
103,9/20/2018,6386.95,6530,6493.11,6337,6819.603515,1537401600,6580.339,6745.990626,6414.687374
